# Output from icenk version 1.01 on Tue Oct  6 12:29:24 2020
# 
# Amorphous CH3OH at 10K, n=1.314, h=1.02 microns, measured on a KBr substrate
# 
# Spectrum file          "example1-spectrum.txt"
# Substrate n and k from "kbr-nk.txt"
# Sample thickness       1.020 microns
# Sample visible index   1.314 at a wavelength of 670.0 nm
# Input parameters from  "icenk-inputfile.txt"
# 
# If this code is used in your research, please cite Gerakines, P.A., and Hudson, R. L. 2020. A Modified Algorithm and Open-source Computational Package for the Determination of Infrared Optical Constants Relevant to Astrophysics. ApJ, 901, 52.
# 
# For the original Python code, calculation details, and general information
# from our group - please visit http://science.gsfc.nasa.gov/691/cosmicice
# 
# Wavnum [cm-1]    Abs(Calculated)           n                  k       
# -------------    ---------------    ---------------    ---------------
# 
2.000000000e+03    1.524902798e-04    1.319608602e+00    -8.917115282e-05
2.000100000e+03    1.583402677e-04    1.319608602e+00    -8.401099928e-05
2.000200000e+03    1.641861217e-04    1.319613676e+00    -7.906388281e-05
2.000300000e+03    1.745791545e-04    1.319637670e+00    -7.087642714e-05
2.000400000e+03    1.838791854e-04    1.319637701e+00    -6.266914133e-05
2.000500000e+03    1.923751520e-04    1.319648825e+00    -5.563031067e-05
2.000600000e+03    1.999756456e-04    1.319644877e+00    -4.876286005e-05
2.000700000e+03    2.028728232e-04    1.319648879e+00    -4.638095138e-05
2.000800000e+03    2.057733725e-04    1.319646603e+00    -4.373764342e-05
2.000900000e+03    2.091712324e-04    1.319649042e+00    -4.084930420e-05
2.001000000e+03    2.096717831e-04    1.319643738e+00    -4.020290067e-05
2.001100000e+03    2.073700303e-04    1.319644732e+00    -4.229260818e-05
2.001200000e+03    2.048705348e-04    1.319642333e+00    -4.441711772e-05
2.001300000e+03    2.023690709e-04    1.319643247e+00    -4.667962447e-05
2.001400000e+03    1.958695254e-04    1.319640178e+00    -5.231069034e-05
2.001500000e+03    1.886682282e-04    1.319644163e+00    -5.885193193e-05
2.001600000e+03    1.811686365e-04    1.319645660e+00    -6.555365652e-05
2.001700000e+03    1.738674845e-04    1.319653861e+00    -7.235566853e-05
2.001800000e+03    1.703178836e-04    1.319659872e+00    -7.575246286e-05
2.001900000e+03    1.667668878e-04    1.319666698e+00    -7.918379371e-05
2.002000000e+03    1.599672418e-04    1.319672389e+00    -8.543795048e-05
2.002100000e+03    1.547663158e-04    1.319684917e+00    -9.056122601e-05
2.002200000e+03    1.522666612e-04    1.319696824e+00    -9.327245759e-05
2.002300000e+03    1.544658609e-04    1.319712730e+00    -9.199817508e-05
2.002400000e+03    1.586162395e-04    1.319723789e+00    -8.880087958e-05
2.002500000e+03    1.627655187e-04    1.319740797e+00    -8.585041055e-05
2.002600000e+03    1.773659418e-04    1.319757070e+00    -7.364000904e-05
2.002700000e+03    1.971654141e-04    1.319768448e+00    -5.663733946e-05
